Point A,Point B,Point C,Point D,Point E,Error Classification
"0.5138284330766,0.5807954180973","0.6,0.6","0.5655475821696,0.6563849436947","0.6172667312626,0.7359528653763","0.4740444722358,0.6762769241151",E
"0.9554303984092,0.513162684668","0.072226467744,0.6285361711062","0.9355384179888,0.6006873985177","0.8281217237187,0.5609034376769","0.1120104285848,0.7399312614604",C
"0.6848994646919,0.2625237313711","0.2,0.8","0.2950166484523,0.7598232418807","0.8161865354665,0.1670422253532","0.3387790053772,0.8990671048235",C
"0.5456556017492,0.6325145671903","0.5933963547581,0.4972491003317","0.6,0.6","0.5615691860855,0.5489682494247","0.6212451273467,0.5449898533406",E
"0.9713439827455,0.7558448457967","0.5058716409084,0.1710206214373","0.9076896454002,0.8035855988056","0.8997328532321,0.6444497554425","0.4422173035632,0.2306965626985",C
"0.223405518939,0.9030455009075","0.1875999541823,0.5569250415928","0.9355384179888,0.0755391154195","0.9355384179888,0.0755391154195","0.7684457824575,0.6484281515266",D
"0.4780228683199,0.2665021274552","0.5735043743377,0.1670422253532","0.58543956259,0.2824157117915","0.5138284330766,0.206826186194","0.5615691860855,0.2267181666144",E
"0.6292019195148,0.8632615400668","0.2910382523683,0.1869342057736","0.4899580565721,0.8115423909738","0.2353407071912,0.2267181666144","0.5973747508422,0.7478880536285",C
"0.0921184481644,0.5887522102654","0.0881400520803,0.4574651394909","0.1438375972574,0.5370330611724","0.0881400520803,0.5250978729202","0.0523344873236,0.5967090024336",E
"0.8519921002232,0.8553047478986","0.2353407071912,0.2346749587826","0.7883377628779,0.7359528653763","0.2631894797797,0.3142428804641","0.8599488923913,0.6762769241151",C
"0.330822213209,0.7598232418807","0.8519921002232,0.0954310958399","0.1995351424345,0.3580052373889","0.6689858803556,0.978635026505","0.5058716409084,0.1471502449329",D
"0.4899580565721,0.7836936183852","0.9793007749136,0.2346749587826","0.8082297432983,0.9189590852438","0.227383915023,0.5330546650883","0.6172667312626,0.2903725039596",D
"0.275124668032,0.7359528653763","0.0563128834077,0.0994094919239","0.6729642764397,0.2426317509507","0.9434952101569,0.7359528653763","0.9156464375684,0.9030455009075",D
"0.2353407071912,0.9070238969916","0.123945616837,0.2863941078756","0.6769426725238,0.103387888008","0.8838192688958,0.5410114572565","0.6689858803556,0.9030455009075",D
"0.7525321981212,0.5569250415928","0.7843593667938,0.5250978729202","0.8,0.6","0.7047914451123,0.517141080752","0.7604889902894,0.4733787238272",E
"0.1998083339983,0.4918895624007","0.3339055170601,0.7293075258545","0.5581335936553,0.6105985441276","0.7076189780521,0.8106451614821","0.7604889902894,0.4733787238272",A
"0.7076189780521,0.8106451614821","0.3339055170601,0.7293075258545","0.5581335936553,0.6105985441276","0.7076189780521,0.8106451614821","0.7604889902894,0.4733787238272",A
"0.7076189780521,0.8106451614821","0.3295088881072,0.5446491098349","0.5581335936553,0.6105985441276","0.7076189780521,0.8106451614821","0.7604889902894,0.4733787238272",A
"0.1338588997056,0.6567631481325","0.3295088881072,0.5446491098349","0.551538650226,0.8985777405391","0.6922307767171,0.7908603311943","0.8439144755903,0.5930120283162",A
"0.1338588997056,0.6567631481325","0.3295088881072,0.5446491098349","0.6922307767171,0.7908603311943","0.6922307767171,0.7908603311943","0.8439144755903,0.5930120283162",A
"0.1338588997056,0.6567631481325","0.3295088881072,0.5446491098349","0.4680027001219,0.7798687588122","0.6922307767171,0.7908603311943","0.8439144755903,0.5930120283162",A
"0.1338588997056,0.6567631481325","0.3295088881072,0.5446491098349","0.5009774172683,0.6963328087081","0.6922307767171,0.7908603311943","0.8439144755903,0.5930120283162",A
"0.1338588997056,0.6567631481325","0.3295088881072,0.5446491098349","0.5119689896504,0.6501682047032","0.6922307767171,0.7908603311943","0.8439144755903,0.5930120283162",A
"0.1338588997056,0.6567631481325","0.3295088881072,0.5446491098349","0.4987791027918,0.5908137138398","0.6922307767171,0.7908603311943","0.8439144755903,0.5930120283162",A
"0.1338588997056,0.6567631481325","0.3295088881072,0.5446491098349","0.5163656186032,0.555640682217","0.6922307767171,0.7908603311943","0.8439144755903,0.5930120283162",A
"0.1338588997056,0.6567631481325","0.3295088881072,0.5446491098349","0.5119689896504,0.5006828203064","0.6922307767171,0.7908603311943","0.8439144755903,0.5930120283162",A
"0.1338588997056,0.6567631481325","0.3295088881072,0.5446491098349","0.494382473839,0.456716530778","0.6922307767171,0.7908603311943","0.8439144755903,0.5930120283162",A
"0.1338588997056,0.6567631481325","0.3295088881072,0.5446491098349","0.6174880845187,0.5336575374528","0.6922307767171,0.7908603311943","0.8439144755903,0.5930120283162",A
"0.1338588997056,0.6567631481325","0.3295088881072,0.5446491098349","0.6834375188114,0.6149951730805","0.6922307767171,0.7908603311943","0.8439144755903,0.5930120283162",A
"0.1338588997056,0.6567631481325","0.3295088881072,0.5446491098349","0.3536903473479,0.6787462928967","0.6922307767171,0.7908603311943","0.8439144755903,0.5930120283162",A
"0.4416229264048,0.9755187472139","0.3624836052536,0.8260333628171","0.5207622475561,0.6875395508024","0.1866184471397,0.5270625940235","0.4767959580276,0.3336109200983",B
"0.4416229264048,0.9755187472139","0.3624836052536,0.8260333628171","0.4989625239623,0.6960542888762","0.3624836052536,0.8260333628171","0.4767959580276,0.3336109200983",B
"0.4416229264048,0.9755187472139","0.3624836052536,0.8260333628171","0.4798899236996,0.7127428141061","0.3624836052536,0.8260333628171","0.4767959580276,0.3336109200983",B
"0.4416229264048,0.9755187472139","0.3624836052536,0.8260333628171","0.4322084230429,0.7222791142374","0.3624836052536,0.8260333628171","0.4767959580276,0.3336109200983",B
"0.4416229264048,0.9755187472139","0.3624836052536,0.8260333628171","0.415519897813,0.7198950392046","0.3624836052536,0.8260333628171","0.4767959580276,0.3336109200983",B
"0.4416229264048,0.9755187472139","0.3624836052536,0.8260333628171","0.3988313725832,0.7222791142374","0.3624836052536,0.8260333628171","0.4767959580276,0.3336109200983",B
"0.4416229264048,0.9755187472139","0.3624836052536,0.8260333628171","0.372606547222,0.7222791142374","0.3624836052536,0.8260333628171","0.4767959580276,0.3336109200983",B
"0.4416229264048,0.9755187472139","0.3624836052536,0.8260333628171","0.343997646828,0.7222791142374","0.3624836052536,0.8260333628171","0.4767959580276,0.3336109200983",B
"0.4416229264048,0.9755187472139","0.3624836052536,0.8260333628171","0.3344613466966,0.7246631892702","0.3624836052536,0.8260333628171","0.4767959580276,0.3336109200983",B
"0.4416229264048,0.9755187472139","0.3624836052536,0.8260333628171","0.3010842962369,0.7318154143688","0.3624836052536,0.8260333628171","0.4767959580276,0.3336109200983",B
"0.4416229264048,0.9755187472139","0.3624836052536,0.8260333628171","0.2748594708758,0.7341994894016","0.3624836052536,0.8260333628171","0.4767959580276,0.3336109200983",B
"0.4416229264048,0.9755187472139","0.3624836052536,0.8260333628171","0.2534027955802,0.7175109641717","0.3624836052536,0.8260333628171","0.4767959580276,0.3336109200983",B
"0.4416229264048,0.9755187472139","0.3624836052536,0.8260333628171","0.2486346455146,0.684133913712","0.3624836052536,0.8260333628171","0.4767959580276,0.3336109200983",B
"0.4416229264048,0.9755187472139","0.3624836052536,0.8260333628171","0.2557868706131,0.6674453884822","0.3624836052536,0.8260333628171","0.4767959580276,0.3336109200983",B
"0.4416229264048,0.9755187472139","0.3624836052536,0.8260333628171","0.2438664954489,0.6745976135807","0.3624836052536,0.8260333628171","0.4767959580276,0.3336109200983",B
"0.4416229264048,0.9755187472139","0.3624836052536,0.8260333628171","0.2247938951862,0.6984383639091","0.3624836052536,0.8260333628171","0.4767959580276,0.3336109200983",B
"0.4416229264048,0.9755187472139","0.3624836052536,0.8260333628171","0.2224098201534,0.669829463515","0.3624836052536,0.8260333628171","0.4767959580276,0.3336109200983",B
"0.4416229264048,0.9755187472139","0.3624836052536,0.8260333628171","0.1914168447265,0.6579090883509","0.3624836052536,0.8260333628171","0.4767959580276,0.3336109200983",B
"0.4416229264048,0.9755187472139","0.3624836052536,0.8260333628171","0.1771123945295,0.6579090883509","0.3624836052536,0.8260333628171","0.4767959580276,0.3336109200983",B
"0.4416229264048,0.9755187472139","0.3624836052536,0.8260333628171","0.155655719234,0.6459887131867","0.3624836052536,0.8260333628171","0.4767959580276,0.3336109200983",B
"0.4416229264048,0.9755187472139","0.3624836052536,0.8260333628171","0.1675760943982,0.626916112924","0.3624836052536,0.8260333628171","0.4767959580276,0.3336109200983",B
"0.1408673044829,0.1258972913279","0.2253592256453,0.1258972913279","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.140544106715,0.1077458182365","0.2253592256453,0.1258972913279","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.1644767075619,0.1062017794722","0.2253592256453,0.1258972913279","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.2123419092556,0.14480274858","0.2253592256453,0.1258972913279","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.2378185488669,0.1571550586946","0.2253592256453,0.1258972913279","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.25325893651,0.1355385159942","0.2253592256453,0.1258972913279","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.2609791303316,0.120098128351","0.2253592256453,0.1258972913279","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.2540309558922,0.1092898570008","0.2253592256453,0.1258972913279","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.2355024907204,0.0938494693576","0.2253592256453,0.1258972913279","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.2154299867843,0.0838132173896","0.2253592256453,0.1258972913279","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.2200621030772,0.0382640738423","0.2253592256453,0.1258972913279","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.0504713184655,0.0383432949586","0.2253592256453,0.1258972913279","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.1712784424003,0.3610472561544","0.2253592256453,0.1258972913279","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.2253592256453,0.1258972913279","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.240292788284,0.1697166614429","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.300119573659,0.1248465724116","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.3629376983028,0.1098898760678","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.4078077873341,0.0769851441116","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.5095133224717,0.0829678226491","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.4556692156342,0.0500630906928","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.5364353758905,0.1188638938741","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.5633574293093,0.0620284477678","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.4407125192904,0.3821017495243","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.4,0.2","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.4,0.25565555","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.5455644041415,0.8572804838901","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.56,0.86","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.58,0.86","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.5876092283394,0.8682983403264","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.5882593527361,0.8897524454191","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.6058127114483,0.878375268476","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.6731005865116,0.834816933894","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.7144810043646,0.8446988247245","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.7244929200745,0.8847464875641","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.7463045935853,0.8693710455811","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.7888552353524,0.8951159716923","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.8131698877908,0.9208608978034","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.7159112780374,0.9272971293312","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.72,0.88","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.72,0.86","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.7087599096732,0.9530420554424","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.6471409921204,0.6637560903896","0.6751826922884,0.8884848865921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.6471409921204,0.6637560903896","0.6721122320832,0.8147392544316","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.6471409921204,0.6637560903896","0.7051034707818,0.7844972856245","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.6471409921204,0.6637560903896","0.8205728062271,0.7432582372512","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.6471409921204,0.6637560903896","0.8508147750342,0.6882728394201","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.6471409921204,0.6637560903896","0.5813863256619,0.6855235695286","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.6471409921204,0.6637560903896","0.5318994676139,0.6497830609384","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.6471409921204,0.6637560903896","0.6,0.6","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.6471409921204,0.6637560903896","0.6528673428423,0.5920483932157","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.6471409921204,0.6637560903896","0.8095757266609,0.6360367114806","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.6471409921204,0.6637560903896","0.4714155299997,0.6415352512637","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.6471409921204,0.6637560903896","0.562141436421,0.5865498534326","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.6471409921204,0.6637560903896","0.6886078514325,0.7185148082272","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.6471409921204,0.6637560903896","0.7958293772031,0.8944680812867","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.6471409921204,0.6637560903896","0.6226253740352,0.831234873781","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.6471409921204,0.6637560903896","0.6253746439268,0.608544012565","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.6471409921204,0.6637560903896","0.7628381385045,0.6387859813721","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.6471409921204,0.6637560903896","0.938791411564,0.6800250297455","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.6471409921204,0.6637560903896","0.562141436421,0.5920483932157","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.6471409921204,0.6637560903896","0.4934096891321,0.7625031264921","0.7663955617251,0.8980862412697",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.6471409921204,0.6637560903896","0.4934096891321,0.7625031264921","0.5318994676139,0.6772757598539",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.6471409921204,0.6637560903896","0.4934096891321,0.7625031264921","0.6,0.6",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.6471409921204,0.6637560903896","0.4934096891321,0.7625031264921","0.5703892460957,0.7185148082272",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.6471409921204,0.6637560903896","0.4934096891321,0.7625031264921","0.5401472772886,0.52881518571",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.6471409921204,0.6637560903896","0.4934096891321,0.7625031264921","0.685858581541,0.5315644556015",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.6471409921204,0.6637560903896","0.4934096891321,0.7625031264921","0.3889374332531,0.7267626179019",C
"0.4360611797918,0.1773542320891","0.6351495717593,0.0380977336178","0.6471409921204,0.6637560903896","0.4934096891321,0.7625031264921","0.8205728062271,0.658030870613",C
"0.2141427587276,0.8477309372782","0.1399703511636,0.2967359096598","0.8322461550943, 0.8406668984625","0.8605023103568, 0.2826078320286","0.3024432439229, 0.5227851517597",D
"0.1752905452417, 0.8547949760938","0.1399703511636,0.2967359096598","0.8322461550943, 0.8406668984625","0.8605023103568, 0.2826078320286","0.3024432439229, 0.5227851517597",D
"0.1540984287949, 0.7982826655688","0.1399703511636,0.2967359096598","0.8322461550943, 0.8406668984625","0.8605023103568, 0.2826078320286","0.3024432439229, 0.5227851517597",D
"0.150566409387, 0.7488343938595","0.1399703511636,0.2967359096598","0.8322461550943, 0.8406668984625","0.8605023103568, 0.2826078320286","0.3024432439229, 0.5227851517597",D
"0.2918471856994, 0.7488343938595","0.1399703511636,0.2967359096598","0.8322461550943, 0.8406668984625","0.8605023103568, 0.2826078320286","0.3024432439229, 0.5227851517597",D
"0.5814727771398, 0.6781940057033","0.1399703511636,0.2967359096598","0.8322461550943, 0.8406668984625","0.8605023103568, 0.2826078320286","0.3024432439229, 0.5227851517597",D
"0.577940757732, 0.44154870538","0.1399703511636,0.2967359096598","0.8322461550943, 0.8406668984625","0.8605023103568, 0.2826078320286","0.3024432439229, 0.5227851517597",D
"0.4331279620118, 0.2508196573583","0.1399703511636,0.2967359096598","0.8322461550943, 0.8406668984625","0.8605023103568, 0.2826078320286","0.3024432439229, 0.5227851517597",D
"0.6273890294414, 0.1801792692021","0.1399703511636,0.2967359096598","0.8322461550943, 0.8406668984625","0.8605023103568, 0.2826078320286","0.3024432439229, 0.5227851517597",D
"0.3766156514869, 0.127198978085","0.1399703511636,0.2967359096598","0.8322461550943, 0.8406668984625","0.8605023103568, 0.2826078320286","0.3024432439229, 0.5227851517597",D
"0.9064185626583, 0.6075536175471","0.1399703511636,0.2967359096598","0.8322461550943, 0.8406668984625","0.8605023103568, 0.2826078320286","0.3024432439229, 0.5227851517597",D
"0.7863299027928, 0.515721112944","0.1399703511636,0.2967359096598","0.8322461550943, 0.8406668984625","0.8605023103568, 0.2826078320286","0.3024432439229, 0.5227851517597",D
"0.913482601474, 0.0494945511132","0.1399703511636,0.2967359096598","0.8322461550943, 0.8406668984625","0.8605023103568, 0.2826078320286","0.3024432439229, 0.5227851517597",D
"0.1152462153089, 0.8653910343172","0.1399703511636,0.2967359096598","0.8322461550943, 0.8406668984625","0.8605023103568, 0.2826078320286","0.3024432439229, 0.5227851517597",D
"0.1152462153089, 0.8653910343172","0.1152462153089, 0.1731152303865","0.8322461550943, 0.8406668984625","0.8605023103568, 0.2826078320286","0.3024432439229, 0.5227851517597",D
"0.1152462153089, 0.8653910343172","0.2847831468838, 0.1554551333475","0.8322461550943, 0.8406668984625","0.8605023103568, 0.2826078320286","0.3024432439229, 0.5227851517597",D
"0.1152462153089, 0.8653910343172","0.4649161366821, 0.127198978085","0.8322461550943, 0.8406668984625","0.8605023103568, 0.2826078320286","0.3024432439229, 0.5227851517597",D
"0.1152462153089, 0.8653910343172","0.5249604666149, 0.2790758126208","0.8322461550943, 0.8406668984625","0.8605023103568, 0.2826078320286","0.3024432439229, 0.5227851517597",D
"0.1152462153089, 0.8653910343172","0.6309210488492, 0.1377950363084","0.8322461550943, 0.8406668984625","0.8605023103568, 0.2826078320286","0.3024432439229, 0.5227851517597",D
"0.1152462153089, 0.8653910343172","0.8357781745021, 0.0848147451913","0.8322461550943, 0.8406668984625","0.8605023103568, 0.2826078320286","0.3024432439229, 0.5227851517597",D
"0.1152462153089, 0.8653910343172","0.7651377863459, 0.5510413070221","0.8322461550943, 0.8406668984625","0.8605023103568, 0.2826078320286","0.3024432439229, 0.5227851517597",D
